,Engine Capacity (liters),Cylinders,Drive Type,Fuel Tank Capacity (liters),Fuel Economy (L/100 Km),Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Top Speed (Km/h),Seating Capacity,Acceleration 0-100 Km/h (sec),Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),name,price,currency
2960,3.8,6,All Wheel Drive,68,9.2,Petrol,400,440,Manual,280,4 Seater,4.6,4.491,1.852,1.291,2.450,125,Porsche 911 2021 Targa 4S,"50,300",BHD
2961,4.7,8,Rear Wheel Drive,80,13.7,Petrol,420,470,Manual,290,2 Seater,4.9,4.385,1.865,1.260,2.600,300,Aston Martin Vantage 2021 V8 M/T,"50,500",BHD
2962,4.7,8,Rear Wheel Drive,80,13.7,Petrol,420,470,Manual,290,2 Seater,4.9,4.385,1.865,1.260,2.600,300,Aston Martin Vantage 2021 V8 M/T,"50,500",BHD
2963,5.0,8,All Wheel Drive,84,11.7,Hybrid,438,520,Automatic,220,5 Seater,5.5,5.207,1.874,1.476,3.091,368,Lexus LS 2021 600h Platinum (LWB),"50,500",BHD
2964,2.9,6,All Wheel Drive,80,2.5,Hybrid,462,700,Automatic,278,4 Seater,4.6,5.199,1.937,1.428,3.100,500,Porsche Panamera 2021 4 E-Hybrid Executive,"50,600",BHD
2965,4.0,N/A,Rear Wheel Drive,65,9.3,Petrol,469,630,Automatic,304,2 Seater,4.0,4.546,1.939,1.288,2.630,285,Mercedes-Benz AMG GT 2021 4.0L,"50,700",BHD
2966,2.9,6,All Wheel Drive,75,8.2,Petrol,440,550,Automatic,289,4 Seater,4.4,5.049,1.937,1.423,2.950,495,Porsche Panamera 2021 4S,"50,900",BHD
2967,4.4,8,All Wheel Drive,70,9.4,Petrol,450,650,Automatic,250,4 Seater,4.4,5.008,1.894,1.392,2.969,460,BMW 6 Series Gran Coupe 2021 650i xDrive,"51,000",BHD
2968,5.0,8,Rear Wheel Drive,80,11.1,Petrol,465,575,Automatic,250,5 Seater,5.2,5.255,1.899,1.460,3.175,520,Jaguar XJ 2021 5.0L SC Portfolio LWB (470 PS),"51,000",BHD
2969,5.0,8,Rear Wheel Drive,80,11.1,Petrol,545,700,Automatic,300,5 Seater,4.4,5.255,1.899,1.460,3.157,520,Jaguar XJ 2021 5.0L SC R LWB (575 PS),"51,000",BHD
2970,4.0,8,All Wheel Drive,66,9.1,Petrol,612,850,Automatic,250,5 Seater,3.4,4.993,1.907,1.460,2.939,540,Mercedes-Benz E 63 AMG 2021 S 4MATIC+,"51,000",BHD
2971,4.7,8,Rear Wheel Drive,80,13.7,Petrol,420,470,Automatic,290,2 Seater,4.9,4.385,1.865,1.260,2.600,300,Aston Martin Vantage 2021 V8 A/T,"51,500",BHD
2972,5.0,8,All Wheel Drive,84,11.7,Hybrid,438,520,Automatic,220,5 Seater,5.5,5.207,1.874,1.476,3.091,368,Lexus LS 2021 600h Titanium (LWB),"51,500",BHD
2973,4.0,8,All Wheel Drive,80,10.1,Petrol,469,700,Automatic,250,5 Seater,4.6,5.271,1.905,1.498,3.165,530,Mercedes-Benz S-Class 2021 S 560 4MATIC,"51,800",BHD
2974,2.9,6,All Wheel Drive,75,8.3,Petrol,440,550,Automatic,286,5 Seater,4.4,5.049,1.990,1.428,2.950,520,Porsche Panamera Sport Turismo 2021 4S,"51,800",BHD
2975,4.0,8,All Wheel Drive,75,9.6,Petrol,600,800,Automatic,305,5 Seater,3.6,4.979,1.936,1.461,2.915,565,Audi RS6 Avant 2021 4.0L TFSI V8 quattro, TBD ,Null
2976,5.0,8,All Wheel Drive,104,12.8,Petrol,520,625,Automatic,225,5 Seater,5.4,5.000,2.073,1.869,2.922,639,Land Rover Range Rover 2021 5.0L SC Vogue (525 PS),"52,000",BHD
2977,5.0,8,All Wheel Drive,104,12.8,Petrol,520,625,Automatic,225,5 Seater,5.4,5.000,2.073,1.869,2.922,639,Land Rover Range Rover 2021 5.0L SC Vogue (525 PS),"52,000",BHD
2978,5.0,8,All Wheel Drive,104,12.8,Petrol,520,625,Automatic,250,5 Seater,5.3,4.879,2.073,1.802,2.923,780,Land Rover Range Rover Sport 2021 5.0L SC V8 Autobiography Dynamic (525 PS),"52,400",BHD
2979,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Manual,305,2 Seater,4.8,4.385,1.866,1.260,2.601,300,Aston Martin Vantage 2021 N430 M/T,"52,500",BHD
2980,4.4,8,All Wheel Drive,70,9.5,Petrol,450,650,Automatic,250,4 Seater,4.5,4.894,1.894,1.365,2.855,300,BMW 6 Series Convertible 2021 650i xDrive,"52,500",BHD
2981,4.0,8,Rear Wheel Drive,65,9.4,Petrol,476,630,Automatic,302,2 Seater,4.0,4.544,1.939,1.259,2.630,165,Mercedes-Benz AMG GT Roadster 2021 4.0L BiTurbo,"52,500",BHD
2982,3.0,6,Rear Wheel Drive,64,8.4,Petrol,450,550,Automatic,308,2 Seater,3.8,4.528,1.852,1.291,2.450,125,Porsche 911 2021 Carrera GTS Cabriolet,"53,000",BHD
2983,4.7,8,Rear Wheel Drive,75,14.5,Petrol,460,520,Automatic,288,4 Seater,5.0,4.881,2.056,1.353,2.942,173,Maserati GranCabrio 2021 4.7L V8 Sport,"53,500",BHD
2984,4.0,8,All Wheel Drive,65,9.5,Petrol,605,750,Automatic,305,5 Seater,3.7,5.012,2.139,1.419,2.915,535,Audi RS7 2021 4.0 TFSI Performance,"53,600",BHD
2985,5.0,8,All Wheel Drive,70,11.3,Petrol,550,680,Automatic,300,2 Seater,4.1,4.482,1.923,1.308,2.622,207,Jaguar F-Type Convertible 2021 5.0L V8  R AWD (550 PS),"53,700",BHD
2986,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.8,4.385,1.866,1.260,2.601,300,Aston Martin Vantage 2021 N430 A/T,"54,000",BHD
2987,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Manual,305,2 Seater,4.9,4.382,1.866,1.260,2.601,300,Aston Martin Vantage 2021 V8 S M/T,"54,000",BHD
2988,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Manual,305,2 Seater,4.9,4.382,1.866,1.260,2.601,300,Aston Martin Vantage 2021 V8 S M/T,"54,000",BHD
2989,3.0,6,All Wheel Drive,75,8.3,Petrol,435,550,Automatic,289,4 Seater,4.5,5.199,1.937,1.428,3.100,500,Porsche Panamera 2021 4S Executive,"54,200",BHD
2990,4.7,8,Rear Wheel Drive,80,13.7,Petrol,420,470,Manual,290,2 Seater,4.9,4.382,1.866,1.260,2.601,144,Aston Martin Vantage Roadster 2021 V8 M/T,"54,500",BHD
2991,5.0,8,All Wheel Drive,104,12.8,Petrol,520,625,Automatic,225,5 Seater,5.4,5.200,2.073,1.868,3.120,639,Land Rover Range Rover 2021 5.0L SC Vogue LWB (525 PS),"54,600",BHD
2992,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.8,4.382,2.022,1.260,2.601,300,Aston Martin Vantage 2021 S 4.7L V8,"55,000",BHD
2993,0.0,8,Rear Wheel Drive,73,10.3,Petrol,5050,685,Automatic,305,2 Seater,3.8,4.465,1.942,1.273 ,2.704,300,Aston Martin Vantage Roadster 2021 4.0T V8,"55,500",BHD
2994,4.4,8,All Wheel Drive,68,10.5,Petrol,600,750,Automatic,250,5 Seater,3.4,4.966,1.903,1.473,2.982,530,BMW M5 Sedan 2021 4.4T (600 HP),"55,500",BHD
2995,3.8,6,Rear Wheel Drive,64,12.4,Petrol,475,440,Manual,315,2 Seater,3.5,4.545,1.852,1.269,2.457,125,Porsche 911 2021 GT3,"55,900",BHD
2996,5.0,8,All Wheel Drive,104,12.8,Petrol,525,625,Automatic,225,5 Seater,5.4,5.000,2.073,1.869,2.922,639,Land Rover Range Rover 2021 5.0L V8 Vogue SE (525 PS),"56,400",BHD
2997,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Manual,305,2 Seater,4.8,4.385,1.866,1.260,2.601,300,Aston Martin Vantage Roadster 2021 N430 M/T,"56,500",BHD
2998,5.0,8,All Wheel Drive,100,12.3,Petrol,585,760,Automatic,250,7 Seater,4.6,5.130,2.141,1.850,3.075,680,Mercedes-Benz GLS 63 AMG 2021 5.0L 4MATIC,"53,800",BHD
2999,5.2,10,All Wheel Drive,90,11.8,Petrol,540,540,Automatic,323,2 Seater,3.5,4.420,1.940,1.240,2.65,Null,Audi R8 Coupe 2021 5.2 V10,"56,900",BHD
3000,4.0,8,All Wheel Drive,82,12.3,Petrol,605,700,Automatic,250,5 Seater,3.8,5.147,2.111,1.458,2.994,520,Audi S8 2021 Plus 4.0 TFSI quattro (605 HP),"57,900",BHD
3001,5.5,8,Rear Wheel Drive,75,10.1,Petrol,585,900,Automatic,250,2 Seater,4.1,4.617,2.099,1.315,2.585,504,Mercedes-Benz SL 63 AMG 2021 5.5L,"57,900",BHD
3002,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.9,4.382,1.866,1.260,2.601,144,Aston Martin Vantage Roadster 2021 V8 S M/T,"58,000",BHD
3003,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.9,4.382,1.866,1.260,2.601,144,Aston Martin Vantage Roadster 2021 V8 S M/T,"58,000",BHD
3004,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.8,4.385,1.866,1.260,2.601,300,Aston Martin Vantage Roadster 2021 N430 A/T,"58,200",BHD
3005,5.0,8,All Wheel Drive,104,12.8,Petrol,575,700,Automatic,280,5 Seater,4.5,4.879,2.073,1.802,2.923,780,Land Rover Range Rover Sport 2021 5.0L V8 SVR (575 PS),"58,400",BHD
3006,6.3,12,All Wheel Drive,82,11.3,Petrol,500,625,Automatic,250,5 Seater,4.6,5.265,2.111,1.471,3.122,520,Audi A8 2021 W12 6.3 FSI quattro (500 HP),"58,500",BHD
3007,3.8,8,Rear Wheel Drive,80,10.7,Petrol,530,710,Automatic,310,5 Seater,4.7,5.262,1.948,1.481,3.171,530,Maserati Quattroporte 2021 3.8T V8 GTS GranSport,"58,500",BHD
3008,4.7,N/A,Rear Wheel Drive,75,14.5,Petrol,460,520,Automatic,291,4 Seater,4.9,4.993,2.056,1.343,2.942,173,Maserati GranCabrio 2021 4.7L V8 MC,"58,500",BHD
3009,4.0,N/A,Rear Wheel Drive,65,11.5,Petrol,514,670,Automatic,310,2 Seater,3.8,4.546,1.939,1.288,2.630,285,Mercedes-Benz AMG GT 2021 4.0L S,"58,600",BHD
3010,5.0,8,All Wheel Drive,104,12.8,Petrol,525,625,Automatic,225,5 Seater,5.4,5.200,2.073,1.868,3.120,639,Land Rover Range Rover 2021 5.0L V8 Vogue SE LWB (525 PS),"58,700",BHD
3011,4.0,8,All Wheel Drive,80,8.3,Petrol,469,700,Automatic,250,4 Seater,4.6,5.027,1.899,1.411,2.945,400,Mercedes-Benz S-Class Coupe 2021 S 560 4MATIC,"58,900",BHD
3012,5.0,8,All Wheel Drive,70,11.3,Petrol,572,700,Automatic,322,2 Seater,3.7,4.482,1.923,1.311,2.622,407,Jaguar F-Type Coupe 2021 5.0L SVR AWD (575 PS),"59,000",BHD
3013,4.7,8,Rear Wheel Drive,80,12.9,Petrol,430,490,Automatic,305,2 Seater,4.9,4.382,1.866,1.260,2.601,144,Aston Martin Vantage Roadster 2021 V8 S A/T,"59,000",BHD
3014,4.4,8,All Wheel Drive,85,11.1,Petrol,617,750,Automatic,250,5 Seater,3.8,4.938,2.015,1.748,2.933,650,BMW X5 M 2021 Competition 4.4T xDrive, TBD ,Null
3015,3.8,8,Rear Wheel Drive,80,10.7,Petrol,530,710,Automatic,310,5 Seater,4.7,5.262,1.948,1.481,3.171,530,Maserati Quattroporte 2021 3.8T V8 GTS GranLusso,"60,000",BHD
3016,5.0,8,Rear Wheel Drive,82,11.1,Petrol,550,680,Automatic,280,5 Seater,4.6,5.130,1.899,1.460,3.032,520,Jaguar XJ 2021 5.0 V8 SC R SWB,"60,900",BHD
3017,5.0,8,Rear Wheel Drive,82,11.1,Petrol,550,680,Automatic,280,5 Seater,4.6,5.255,1.899,1.460,3.157,520,Jaguar XJ 2021 5.0 V8 SC R LWB,"60,900",BHD
3018,3.8,6,All Wheel Drive,68,9.7,Petrol,520,660,Manual,315,4 Seater,3.4,4.506,1.880,1.296,2.450,115,Porsche 911 2021 Turbo,"61,300",BHD
3019,3.8,6,All Wheel Drive,68,9.7,Petrol,520,660,Manual,315,4 Seater,3.4,4.506,1.880,1.296,2.450,115,Porsche 911 2021 Turbo,"61,300",BHD
3020,4.7,8,Rear Wheel Drive,90,15.5,Petrol,460,520,Automatic,303,4 Seater,4.5,4.993,2.044,1.343,2.938,320,Maserati GranTurismo 2021 Sport MC Stradale,"61,500",BHD
3021,5.0,8,Rear Wheel Drive,80,11.1,Petrol,505,625,Automatic,250,5 Seater,4.9,5.255,1.899,1.460,3.175,520,Jaguar XJ 2021 5.0L SC Autobiography LWB (510 PS),"61,700",BHD
3022,5.0,8,All Wheel Drive,70,11.3,Petrol,572,700,Automatic,314,2 Seater,3.7,4.482,1.923,1.308,2.622,207,Jaguar F-Type Convertible 2021 5.0L SVR AWD (575 PS),"62,400",BHD
3023,4.7,8,Rear Wheel Drive,80,9.1,Petrol,455,700,Automatic,250,4 Seater,4.6,5.027,1.899,1.417,2.945,350,Mercedes-Benz S Class Cabriolet 2021 S 500 Cabriolet,"62,900",BHD
3024,5.2,10,All Wheel Drive,80,13.8,Petrol,540,540,Automatic,318,2 Seater,3.6,4.427,2.037,1.244,2.649,113,Audi R8 Spyder 2021 5.2L V10,"63,100",BHD
3025,5.0,8,All Wheel Drive,104,12.8,Petrol,525,625,Automatic,225,5 Seater,5.4,5.000,2.073,1.869,2.922,639,Land Rover Range Rover 2021 5.0L V8 Autobiography (525 PS),"63,900",BHD
3026,4.0,8,Rear Wheel Drive,65,11.4,Petrol,557,680,Automatic,316,2 Seater,3.7,4.544,1.939,1.259,2.630,165,Mercedes-Benz AMG GT Roadster 2021 4.0L BiTurbo GT C,"65,100",BHD
3027,5.2,10,All Wheel Drive,90,12.4,Petrol,610,560,Automatic,330,2 Seater,3.2,4.420,1.940,1.240,2.65,Null,Audi R8 Coupe 2021 5.2 V10 Plus,"65,200",BHD
3028,4.0,N/A,Rear Wheel Drive,65,12.4,Petrol,576,700,Automatic,318,2 Seater,3.6,4.551,1.939,1.284,2.630,285,Mercedes-Benz AMG GT 2021 4.0L R,"65,300",BHD
3029,6.0,12,Rear Wheel Drive,80,11.3,Petrol,530,830,Automatic,250,4 Seater,4.6,5.246,1.899,1.496,3.165,510,Mercedes-Benz S-Class 2021 S 600,"65,300",BHD
3030,3.8,6,All Wheel Drive,68,9.9,Petrol,520,660,Automatic,315,4 Seater,3.5,4.506,1.880,1.292,2.450,115,Porsche 911 2021 Turbo Cabriolet,"65,500",BHD
3031,5.0,8,All Wheel Drive,104,12.8,Petrol,525,625,Automatic,250,4 Seater,5.4,5.200,2.073,1.868,3.120,639,Land Rover Range Rover 2021 5.0L V8 Autobiography LWB (525 PS),"65,900",BHD
3032,4.0,8,All Wheel Drive,80,8.9,Petrol,612,900,Automatic,250,5 Seater,3.5,5.295,1.905,1.499,3.165,530,Mercedes-Benz S 63 AMG 2021 4.0L 4MATIC+,"65,900",BHD
3033,4.4,8,Rear Wheel Drive,80,9.9,Petrol,560,680,Automatic,250,4 Seater,4.2,4.898,1.899,1.374,2.851,460,BMW M6 Coupe 2021 4.4T,"66,000",BHD
3034,4.4,8,Rear Wheel Drive,80,10.3,Petrol,560,680,Automatic,250,4 Seater,4.3,4.898,1.899,1.368,2.851,300,BMW M6 Convertible 2021 4.4T,"70,000",BHD
3035,4.4,8,Rear Wheel Drive,80,10.3,Petrol,560,680,Automatic,250,4 Seater,4.3,4.898,1.899,1.368,2.851,300,BMW M6 Convertible 2021 4.4T,"70,000",BHD
3036,4.4,8,Rear Wheel Drive,80,9.9,Petrol,560,680,Automatic,250,4 Seater,4.2,5.011,2.106,1.393,2.964,460,BMW M6 Gran Coupe 2021 4.4T,"70,000",BHD
3037,4.0,8,All Wheel Drive,90,9.4,Petrol,550,770,Automatic,306,4 Seater,3.8,5.049,1.937,1.423,2.950,500,Porsche Panamera 2021 Turbo,"71,600",BHD
3038,4.0,8,All Wheel Drive,90,9.5,Petrol,550,770,Automatic,304,5 Seater,3.8,5.049,1.990,1.428,2.950,520,Porsche Panamera Sport Turismo 2021 Turbo,"72,400",BHD
3039,3.8,6,All Wheel Drive,68,9.7,Petrol,560,700,Automatic,318,4 Seater,3.0,4.506,1.880,1.296,2.450,115,Porsche 911 2021 Turbo S,"72,800",BHD
3040,6.0,12,Rear Wheel Drive,80,12.9,Petrol,544,750,Automatic,250,5 Seater,4.6,5.219,2.142,1.481,3.210,500,BMW 7 Series 2021 760Li,"75,000",BHD
3041,6.6,12,All Wheel Drive,78,12.8,Petrol,585,850,Automatic,250,5 Seater,3.8,5.238,1.902,1.479,3.210,515,BMW 7 Series 2021 M760Li xDrive,"75,000",BHD
3042,3.8,8,Rear Wheel Drive,110,11.7,Petrol,562,600,Automatic,333,2 Seater,2.9,4.512,2.093,1.203,2.670,N/A,McLaren 570S 2021 3.8T Coupe,"75,000",BHD
3043,4.0,8,All Wheel Drive,90,9.5,Petrol,550,770,Automatic,306,4 Seater,3.9,5.199,1.937,1.432,3.100,500,Porsche Panamera 2021 Turbo Executive,"75,300",BHD
3044,3.8,6,All Wheel Drive,68,9.9,Petrol,560,700,Manual,318,4 Seater,3.2,4.506,1.880,1.292,2.450,115,Porsche 911 2021 Turbo S Cabriolet,"77,000",BHD
3045,5.0,8,All Wheel Drive,104,13.8,Petrol,560,700,Automatic,225,5 Seater,5.4,5.000,2.073,1.869,2.922,639,Land Rover Range Rover 2021 5.0L SC SV Autobiography Dynamic (565 PS),"77,000",BHD
3046,4.0,N/A,All Wheel Drive,80,9.3,Petrol,601,900,Automatic,250,4 Seater,3.5,5.051,2.108,1.422,2.945,400,Mercedes-Benz S 63 AMG Coupe 2021 4.0L 4MATIC+,"77,500",BHD
3047,6.0,12,Rear Wheel Drive,80,14.8,Petrol,630,1000,Automatic,250,4 Seater,4.7,5.462,1.930,1.498,3.365,500,Mercedes-Benz Maybach 2021 S 650,"79,000",BHD
3048,3.8,8,Rear Wheel Drive,72,10.7,Petrol,562,600,Automatic,328,2 Seater,3.4,4.530,2.095,1.201,2.670,370,McLaren 570 GT 2021 3.8T Coupe,"79,000",BHD
3049,3.8,8,Rear Wheel Drive,72,10.7,Petrol,562,600,Automatic,328,2 Seater,3.4,4.530,2.095,1.201,2.670,370,McLaren 570 GT 2021 3.8T Coupe,"79,000",BHD
3050,4.0,8,Rear Wheel Drive,80,10.1,Petrol,612,900,Automatic,250,4 Seater,3.5,5.051,1.899,1.417,2.945,350,Mercedes-Benz S Class Cabriolet 2021 S63 4MATIC+,"79,900",BHD
3051,4.0,8,All Wheel Drive,90,10.9,Petrol,542,770,Automatic,301,4 Seater,4.5,4.806,2.227,1.403,2.746,260,Bentley Continental GT Convertible 2021 V8,"80,000",BHD
3052,6.0,8,All Wheel Drive,90,10.6,Petrol,500,660,Automatic,303,4 Seater,4.8,4.806,2.227,1.404,2.746,358,Bentley Continental GT 2021 V8,"80,000",BHD
3053,6.0,12,Rear Wheel Drive,75,11.9,Petrol,630,1000,Automatic,250,2 Seater,4.0,4.617,2.099,1.315,2.585,504,Mercedes-Benz SL 65 AMG 2021 6.0L,"81,200",BHD
3054,5.9,12,Rear Wheel Drive,80,14.7,Petrol,565,620,Automatic,328,2 Seater,3.9,4.385,2.022,1.250,2.600,300,Aston Martin Vantage 2021 S 6.0L V12,"84,000",BHD
3055,4.0,8,All Wheel Drive,80,3.3,Hybrid,680,850,Automatic,310,4 Seater,3.4,5.049,1.937,1.423,2.950,405,Porsche Panamera 2021 Turbo S E-Hybrid,"84,300",BHD
3056,3.9,8,Rear Wheel Drive,78,10.5,Petrol,560,755,Automatic,315,2 Seater,3.6,4.570,1.910,1.322,2.670,241,Ferrari California T 2021 3.9T V8,"85,000",BHD
3057,6.0,N/A,Rear Wheel Drive,80,11.9,Petrol,630,1000,Automatic,250,4 Seater,4.1,5.044,1.913,1.422,2.945,400,Mercedes-Benz S 65 AMG Coupe 2021 6.0L,"87,700",BHD
3058,4.0,8,All Wheel Drive,80,2.9,Petrol,680,850,Automatic,310,4 Seater,3.5,5.199,1.937,1.432,3.100,405,Porsche Panamera 2021 Turbo S E-Hybrid Executive,"87,900",BHD
3059,5.9,12,Rear Wheel Drive,80,14.7,Petrol,565,620,Automatic,330,2 Seater,4.1,4.385,2.022,1.260,2.600,144,Aston Martin Vantage Roadster 2021 S 6.0L V12,"89,000",BHD
3060,6.0,8,All Wheel Drive,90,10.6,Petrol,521,680,Automatic,309,4 Seater,4.5,4.806,2.227,1.404,2.746,358,Bentley Continental GT 2021 V8 S,"89,000",BHD
3061,6.0,8,All Wheel Drive,90,10.9,Petrol,521,680,Automatic,308,4 Seater,4.7,4.806,2.227,1.403,2.746,260,Bentley Continental GT Convertible 2021 V8 S,"90,000",BHD
3062,6.0,8,All Wheel Drive,90,10.9,Petrol,521,680,Automatic,308,4 Seater,4.7,4.806,2.227,1.403,2.746,260,Bentley Continental GT Convertible 2021 V8 S,"90,000",BHD
3063,4.5,8,Rear Wheel Drive,85,11.8,Petrol,570,540,Automatic,325,2 Seater,3.4,4.527,1.937,1.213,2.650,N/A,Ferrari 458 2021 Italia,"90,700",BHD
3064,5.9,12,Rear Wheel Drive,90.5,12.9,Petrol,590,630,Automatic,330,4 Seater,4.4,5.019,1.929,1.350,2.989,400,Aston Martin Rapide AMR 2021 6.0L V12 ,"91,500",BHD
3065,6.0,12,Rear Wheel Drive,80,11.9,Petrol,630,1000,Automatic,250,5 Seater,4.3,5.295,1.905,1.499,3.165,530,Mercedes-Benz S 65 AMG 2021 6.0L V12 (630 HP),"92,800",BHD
3066,5.0,8,All Wheel Drive,104,12.8,Petrol,560,700,Automatic,225,5 Seater,5.5,5.200,2.073,1.868,3.120,639,Land Rover Range Rover 2021 5.0L SC SV Autobiography LWB (565 PS),"93,500",BHD
3067,6.0,12,All Wheel Drive,90,14.5,Petrol,567,700,Automatic,318,4 Seater,4.5,4.806,2.227,1.404,2.746,358,Bentley Continental GT 2021 W12,"100,000",BHD
3068,4.5,8,Rear Wheel Drive,85,11.8,Petrol,570,540,Automatic,320,2 Seater,3.4,4.527,1.937,1.211,2.650,230,Ferrari 458 2021 Spider,"101,000",BHD
3069,6.0,12,All Wheel Drive,85,13.1,Petrol,600,900,Automatic,301,5 Seater,4.1,5.140,1.998,1.742,2.995,484,Bentley Bentayga 2021 6.0L W12,"101,000",BHD
3070,6.0,12,Rear Wheel Drive,80,14.2,Petrol,630,1000,Automatic,250,4 Seater,4.1,5.051,1.899,1.417,2.945,350,Mercedes-Benz S Class Cabriolet 2021 S 65 ,"103,100",BHD
3071,3.8,8,Rear Wheel Drive,72,11.7,Petrol,640,678,Automatic,333,2 Seater,2.9,4.512,2.093,1.203,2.670,N/A,McLaren 650S 2021 Coupe,"105,000",BHD
3072,6.0,12,All Wheel Drive,90,14.9,Petrol,567,700,Automatic,314,4 Seater,4.7,4.806,2.227,1.403,2.746,260,Bentley Continental GT Convertible 2021 W12,"105,000",BHD
3073,3.9,8,Rear Wheel Drive,78,11.4,Petrol,670,760,Automatic,330,2 Seater,3.0,4.568,1.952,1.213,2.650,230,Ferrari 488 2021 3.9T V8 GTB,"105,000",BHD
3074,4.5,8,Rear Wheel Drive,85,11.8,Petrol,600,540,Automatic,325,2 Seater,3.0,4.571,1.951,1.203,2.650,N/A,Ferrari 458 2021 Speciale,"105,500",BHD
3075,5.2,10,All Wheel Drive,83,12.0,Petrol,602,560,Automatic,325,2 Seater,3.2,4.459,1.924,1.165,2.620,Null,Lamborghini Huracan 2021 LP 610-4 Coupe,"108,000",BHD
3076,5.2,10,All Wheel Drive,83,12.0,Petrol,602,560,Automatic,325,2 Seater,3.2,4.459,1.924,1.165,2.620,Null,Lamborghini Huracan 2021 LP 610-4 Coupe,"108,000",BHD
3077,6.0,12,All Wheel Drive,90,14.5,Petrol,626,820,Automatic,331,4 Seater,4.2,4.806,2.227,1.404,2.746,358,Bentley Continental GT 2021 Speed,"115,000",BHD
3078,3.9,8,Rear Wheel Drive,78,11.4,Petrol,670,760,Automatic,325,2 Seater,3.0,4.568,1.952,1.211,2.650,230,Ferrari 488 Spider 2021 3.9T V8 ,"115,000",BHD
3079,4.5,8,Rear Wheel Drive,85,11.8,Petrol,600,540,Automatic,320,2 Seater,3.0,4.571,1.951,1.204,2.650,N/A,Ferrari 458 2021 Speciale Aperta,"116,100",BHD
3080,3.8,8,Rear Wheel Drive,72,11.7,Petrol,640,678,Automatic,329,2 Seater,2.9,4.512,2.093,1.203,2.670,N/A,McLaren 650S 2021 Spyder,"116,100",BHD
3081,5.9,12,Rear Wheel Drive,78,12.8,Petrol,577,630,Automatic,323,4 Seater,3.8,4.692,2.067,1.294,2.740,280,Aston Martin Vanquish 2021 6.0L V12,"118,000",BHD
3082,5.9,12,Rear Wheel Drive,78,13.1,Petrol,580,630,Automatic,323,2 Seater,3.5,4.730,2.067,1.295,2.740,280,Aston Martin Vanquish 2021 S 6.0L V12,"118,000",BHD
3083,6.2,12,Rear Wheel Drive,90,15.0,Petrol,730,690,Automatic,340,2 Seater,3.1,4.618,1.942,1.273,2.720,N/A,Ferrari F12 berlinetta 2021 Coupe,"118,000",BHD
3084,6.0,12,All Wheel Drive,90,14.9,Petrol,626,820,Automatic,327,4 Seater,4.4,4.806,2.227,1.403,2.746,260,Bentley Continental GT Convertible 2021 Speed,"120,000",BHD
3085,6.0,12,Rear Wheel Drive,78,12.0,Petrol,565,620,Automatic,295,4 Seater,4.1,4.692,1.912,1.294,2.740,280,Aston Martin Vanquish 2021 V12 Carbon Black,"124,100",BHD
3086,5.2,10,All Wheel Drive,83,12.3,Petrol,602,560,Automatic,324,2 Seater,3.4,4.459,1.924,1.165,2.620,Null,Lamborghini Huracan 2021 LP 610-4 Spyder,"125,000",BHD
3087,5.9,12,Rear Wheel Drive,78,12.8,Petrol,568,630,Automatic,317,4 Seater,4.0,4.692,2.067,1.294,2.740,280,Aston Martin Vanquish Volante 2021 6.0L V12,"126,900",BHD
3088,6.0,12,All Wheel Drive,90,13.3,Petrol,635,900,Automatic,333,5 Seater,3.8,5.316,1.987,1.484,3.194,420,Bentley Flying Spur 2021 6.0L W12 ,"130,000",BHD
3089,6.0,12,Rear Wheel Drive,78,12.0,Petrol,565,620,Automatic,295,4 Seater,4.1,4.692,1.912,1.294,2.740,280,Aston Martin Vanquish Volante 2021 V12 Carbon Black,"133,000",BHD
3090,6.8,8,Rear Wheel Drive,96,14.6,Petrol,505,1020,Automatic,296,5 Seater,5.3,5.575,1.926,1.521,3.266,443,Bentley Mulsanne 2021 6.75L V8,"140,000",BHD
3091,6.8,8,Rear Wheel Drive,96,14.6,Petrol,505,1020,Automatic,296,5 Seater,5.3,5.575,1.926,1.521,3.266,443,Bentley Mulsanne 2021 6.75L V8,"140,000",BHD
3092,6.6,12,Rear Wheel Drive,83,14.3,Petrol,624,800,Automatic,250,4 Seater,4.6,5.285,1.947,1.507,3.112,470,Rolls Royce Wraith 2021 6.6L Base,"140,000",BHD
3093,6.6,12,Rear Wheel Drive,82,14.3,Petrol,563,820,Automatic,250,5 Seater,4.9,5.399,1.948,1.550,3.295,490,Rolls Royce Ghost 2021 6.6L Short Wheelbase,"145,000",BHD
